quando|cidade|pais|nascer_do_sol|por_do_sol|velocidade_vento|ang_vento|visibilidade|temperatura_min|temperatura_max|pressao|umidade|sensacao_termica|condicao_meteorologica|descricao|longitude|latitude
2021-09-21 19:14:55|Tupi Paulista|BR|2021-09-21 06:16:39|2021-09-21 18:22:00|2.0|224|10000|34.04|34.04|1006|14|31.6|Clouds|nuvens dispersas|-51.5706|-21.3811
2021-09-21 18:14:58|Eldorado|BR|2021-09-21 05:27:33|2021-09-21 17:32:48|7.96|188|10000|27.16|27.16|1012|53|27.77|Clouds|nublado|-54.2836|-23.7869
2021-09-21 19:15:02|Santa Adélia|BR|2021-09-21 06:05:36|2021-09-21 18:10:56|4.17|240|10000|30.88|30.88|1007|18|28.91|Clouds|nublado|-48.8042|-21.2428
2021-09-21 19:15:05|São Simão|BR|2021-09-21 06:00:35|2021-09-21 18:05:55|1.04|154|10000|34.25|34.25|1008|25|32.82|Clouds|nublado|-47.5508|-21.4792
2021-09-21 19:15:09|Itajobi|BR|2021-09-21 06:06:36|2021-09-21 18:11:56|3.71|247|10000|31.75|31.75|1007|18|29.66|Clouds|nublado|-49.0544|-21.3181
2021-09-21 19:15:12|Pinhalzinho|BR|2021-09-21 06:22:26|2021-09-21 18:27:34|2.7|163|10000|14.76|14.76|1019|88|14.59|Rain|chuva forte|-52.9919|-26.8481
2021-09-21 19:15:16|Auriflama|BR|2021-09-21 06:12:35|2021-09-21 18:17:57|1.28|216|10000|32.17|32.17|1007|15|29.94|Clouds|nuvens dispersas|-50.5547|-20.6856
2021-09-21 19:15:19|Itaporanga|BR|2021-09-21 05:22:37|2021-09-21 17:28:42|2.05|122|10000|30.4|30.4|1010|36|29.69|Clouds|nuvens dispersas|-38.1503|-7.3044
2021-09-21 19:15:23|Tarumã|BR|2021-09-21 06:12:43|2021-09-21 18:17:59|1.47|238|10000|32.84|32.84|1007|19|30.72|Clouds|nuvens dispersas|-50.5772|-22.7467
2021-09-21 19:15:26|Ipaussu|BR|2021-09-21 06:08:55|2021-09-21 18:14:11|3.01|135|10000|28.29|28.29|1009|32|27.41|Clouds|nublado|-49.6284|-23.0553
2021-09-21 19:15:30|Luís Antônio|BR|2021-09-21 06:01:12|2021-09-21 18:06:31|0.66|121|10000|28.64|34.32|1008|23|32.64|Clouds|nublado|-47.7034|-21.5525
2021-09-21 19:15:33|Holambra|BR|2021-09-21 05:58:38|2021-09-21 18:03:54|9.26|140|10000|20.31|20.31|1012|70|20.22|Clouds|nublado|-47.0545|-22.6332
2021-09-21 19:15:37|Boa Esperança do Sul|BR|2021-09-21 06:03:57|2021-09-21 18:09:16|6.57|160|10000|31.43|31.43|1009|31|30.29|Clouds|nublado|-48.3908|-21.9925
2021-09-21 19:15:40|Santa Branca|BR|2021-09-21 05:53:58|2021-09-21 17:59:12|3.6|190|8000|18.59|20.47|1019|77|18.8|Clouds|nublado|-45.8839|-23.3967
2021-09-21 19:15:44|Patrocínio Paulista|BR|2021-09-21 05:59:30|2021-09-21 18:04:51|0.81|346|10000|29.64|29.64|1009|22|28.01|Clouds|algumas nuvens|-47.2817|-20.6394
2021-09-21 19:15:47|Serra Azul|BR|2021-09-21 06:00:39|2021-09-21 18:05:58|1.18|160|10000|34.58|34.58|1007|22|32.81|Clouds|nublado|-47.5656|-21.3108
2021-09-21 19:15:51|Flórida Paulista|BR|2021-09-21 06:15:04|2021-09-21 18:20:23|2.96|183|10000|33.16|33.16|1007|16|30.87|Clouds|nuvens dispersas|-51.1706|-21.615
2021-09-21 19:15:54|Pacaembu|BR|2021-09-21 06:15:25|2021-09-21 18:20:45|2.9|181|10000|32.31|32.31|1007|15|30.06|Clouds|nuvens dispersas|-51.2606|-21.5622
2021-09-21 19:15:58|Quatá|BR|2021-09-21 06:13:11|2021-09-21 18:18:29|3.06|228|10000|31.33|31.33|1008|17|29.26|Clouds|nuvens dispersas|-50.6983|-22.2475
2021-09-21 19:16:01|Maracaí|BR|2021-09-21 06:13:04|2021-09-21 18:18:21|1.54|233|10000|32.77|32.77|1007|18|30.6|Clouds|nuvens dispersas|-50.6672|-22.6106
2021-09-21 19:16:05|Itapuí|BR|2021-09-21 06:05:16|2021-09-21 18:10:34|6.62|128|10000|35.0|35.0|1009|34|35.58|Clouds|nublado|-48.7192|-22.2333
2021-09-21 19:16:08|Taguaí|BR|2021-09-21 06:08:03|2021-09-21 18:13:17|8.76|116|10000|20.5|20.5|1012|75|20.56|Clouds|nublado|-49.4054|-23.4534
2021-09-21 19:16:12|Urupês|BR|2021-09-21 06:07:32|2021-09-21 18:12:52|2.84|236|10000|35.63|35.63|1007|17|33.4|Clouds|nublado|-49.29|-21.2017
2021-09-21 19:16:15|Piquete|BR|2021-09-21 05:51:07|2021-09-21 17:56:23|2.86|199|10000|20.53|26.15|1016|86|23.41|Clouds|nuvens dispersas|-45.1761|-22.6136
2021-09-21 19:16:19|Avanhandava|BR|2021-09-21 06:10:11|2021-09-21 18:15:30|1.68|359|10000|32.13|32.13|1007|17|29.96|Clouds|nublado|-49.9497|-21.4608
2021-09-21 19:16:22|Piratininga|BR|2021-09-21 06:06:56|2021-09-21 18:12:14|5.14|120|10000|34.51|34.51|1011|36|35.28|Clear|céu limpo|-49.1347|-22.4128
2021-09-21 19:16:26|Morungaba|BR|2021-09-21 05:57:35|2021-09-21 18:02:51|9.36|136|10000|17.84|19.22|1014|80|19.29|Rain|chuva leve|-46.7917|-22.88
